2025-11-06 13:06:39,998 - DISCOVERED | https://www.duoc.cl/escuela/salud/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,999 - DISCOVERED | https://www.duoc.cl/contrato-servicios-educacionales/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,999 - DISCOVERED | https://www.duoc.cl/vida-estudiantil/titulados/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,999 - DISCOVERED | https://www.duoc.cl/nosotros/sobre-duoc/proyecto-educativo/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,999 - DISCOVERED | https://www.duoc.cl/politica-privacidad/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:39,999 - DISCOVERED | https://www.duoc.cl/escuela/construccion/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:40,000 - DISCOVERED | https://www.duoc.cl/nosotros/sobre-duoc/mision-vision/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:40,000 - DISCOVERED | https://www.duoc.cl/international-affairs/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:40,000 - DISCOVERED | https://www.duoc.cl/contacto-admision/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:40,000 - DISCOVERED | https://www.duoc.cl/nosotros/sobre-duoc/modelo-educativo/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:40,000 - DISCOVERED | https://www.duoc.cl/vida-estudiantil/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:40,001 - DISCOVERED | https://www.duoc.cl/escuela/comunicacion/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:40,001 - DISCOVERED | https://www.duoc.cl/admision/especial/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:40,001 - DISCOVERED | https://www.duoc.cl/oferta-academica/cursos-diplomados/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:40,001 - DISCOVERED | https://www.duoc.cl/duoconline/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:40,002 - DISCOVERED | https://www.duoc.cl/nosotros/sobre-duoc/transparencia/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
2025-11-06 13:06:40,002 - DISCOVERED | https://www.duoc.cl/escuela/informatica-telecomunicaciones/ | Source: https://www.duoc.cl/nosotros/sobre-duoc/ | Depth: 2
